公告日期,证券代码,公告标题,公告网页链接（万得）,股票简称,标题,
22/08/2014,A14631.SH,宏辉果蔬:首次公开发行股票招股说明书(申报稿2014年8月11日报送),http://snap.windin.com/ns/bulletin.php?id=68053616&type=1,宏辉果蔬,首次公开发行股票招股说明书(申报稿2014年8月11日报送),
22/08/2014,A14173.SZ,华强文化:创业板首次公开发行股票招股说明书(申报稿2014年8月21日报送),http://snap.windin.com/ns/bulletin.php?id=68053702&type=1,华强文化,创业板首次公开发行股票招股说明书(申报稿2014年8月21日报送),
22/08/2014,A14467.SZ,迦南科技:创业板首次公开发行股票招股说明书(申报稿2014年8月21日报送),http://snap.windin.com/ns/bulletin.php?id=68053700&type=1,迦南科技,创业板首次公开发行股票招股说明书(申报稿2014年8月21日报送),
22/08/2014,A14398.SZ,萃华股份:首次公开发行股票招股说明书(申报稿2014年8月22日报送),http://snap.windin.com/ns/bulletin.php?id=68053690&type=1,萃华股份,首次公开发行股票招股说明书(申报稿2014年8月22日报送),
20/08/2014,A14610.SZ,三环集团:创业板首次公开发行股票招股说明书(申报稿2014年8月19日报送),http://snap.windin.com/ns/bulletin.php?id=68029878&type=1,三环集团,创业板首次公开发行股票招股说明书(申报稿2014年8月19日报送),
20/08/2014,A14466.SH,广州酒家:首次公开发行股票招股说明书(申报稿2014年8月19日报送),http://snap.windin.com/ns/bulletin.php?id=68029880&type=1,广州酒家,首次公开发行股票招股说明书(申报稿2014年8月19日报送),
14/08/2014,A14473.SH,石大胜华:首次公开发行股票招股说明书(申报稿2014年8月13日报送),http://snap.windin.com/ns/bulletin.php?id=67201572&type=1,石大胜华,首次公开发行股票招股说明书(申报稿2014年8月13日报送),
13/08/2014,A14167.SZ,凯发电气:创业板首次公开发行股票招股说明书(申报稿2014年8月11日报送),http://snap.windin.com/ns/bulletin.php?id=67192508&type=1,凯发电气,创业板首次公开发行股票招股说明书(申报稿2014年8月11日报送),
13/08/2014,A14120.SH,柳州医药:首次公开发行股票招股说明书(申报稿2014年8月11日报送),http://snap.windin.com/ns/bulletin.php?id=67189402&type=1,柳州医药,首次公开发行股票招股说明书(申报稿2014年8月11日报送),
13/08/2014,A14204.SH,黑猫焦化:首次公开发行股票招股说明书(申报稿2014年8月11日报送),http://snap.windin.com/ns/bulletin.php?id=67192572&type=1,黑猫焦化,首次公开发行股票招股说明书(申报稿2014年8月11日报送),
13/08/2014,A14040.SH,新澳股份:首次公开发行股票招股说明书(申报稿2014年8月12日报送),http://snap.windin.com/ns/bulletin.php?id=67192552&type=1,新澳股份,首次公开发行股票招股说明书(申报稿2014年8月12日报送),
